author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
1.31683E+18,2022-02-01 23:53:45+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for Android,"@Elder_NFT LIKE,RETWEET,FOLLOW WILL FB!!

SGOX Is a fully doxxed end to end rapidly growing ecosystem with It's own SporteMarketplace for NFTS and will even have It's own stable coin💯🔥
@sportemongo @metaraceworld @LibertyOneSC 
#NFTCommunity #gaming #Metaverse #DeFi #BSCGem #crypto 🏎🤖🦮 https://t.co/GbIuIIqfqE"
138125551,2022-02-01 23:53:45+00:00, ,1.48866E+18,en,7,0,1,1,Twitter Web App,The Internet Elders have spoken. https://t.co/EewumJx79V
2200537130,2022-02-01 23:53:44+00:00, ,1.48866E+18,en,3,0,0,0,Twitter for Mac,"#Publichealth should protect the most vulnerable. One example of this in practice - how the National Ambient Air Quality Standards are set w/ consideration for older adults, children, and people with asthma. I am weary of ableist takes that do not protect most vulnerable. https://t.co/J2yVrt1kdn"
1728293275,2022-02-01 23:53:40+00:00, ,1.48866E+18,en,1,0,0,0,Twitter for iPhone,"@vivamjm I have some great anecdotes about North Weald none of which I can relate because Twitter. One of them concerns a Catalina and two elderly gentlemen recognising each other as having served together as aircrew on the same wartime squadron 50 years previously. 
It was emotional."
7.84781E+17,2022-02-01 23:53:31+00:00, ,1.48866E+18,en,0,0,0,0,Twitter Web App,@DanRather @MalcolmNance Those things are unimportant to Republicans or they would have supported BBB which was inclusive of many of those needed social programs.  Apparently you're a communist if you want care for children &amp; the elderly in America?
1.16599E+18,2022-02-01 23:53:31+00:00, ,1.48866E+18,en,0,1,0,0,Twitter for Android,*&amp; one of the elders said to me!*“Weep no more!*behold!*the Lion of the tribe of Judah!*the Root of David!*has conquered!*so that he can open the scroll*&amp; its seven seals!”👑♥👑♥👑♥👑♥👑♥👑*Revelation 5:5*🐧🐬🦉💃🏽🐕🐦🕺🐈🐄💖🐪🐐✨👉➡ https://t.co/4Jrm8UY0LP https://t.co/lF1NjNo6Oe
1.42815E+18,2022-02-01 23:53:28+00:00, ,1.48866E+18,en,0,0,1,0,Twitter Web App,I don't trust a church with an elder board. Episcopacy is the way to go! https://t.co/aOle3oqEcz
1.29321E+18,2022-02-01 23:53:23+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for Android,"@bunarium You bunnies be good, respect your elders."
1.36428E+18,2022-02-01 23:53:22+00:00, ,1.48866E+18,en,1,0,1,0,Twitter for iPhone,@G0DLYSINNER You are elderly. Actually elderly.
980423408,2022-02-01 23:53:21+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for Android,@SojiroTenken @Rharnick @RichLowry I think it's funny that so many people got conned into thinking that the vast maj of deaths are from the unvaxxed.  The elderly are 98.5% vaxxed and still make up the maj of deaths.  Then comes to 50-64 ages.  Vast majority of those deaths health was maj factor.  Not vax status
1.48357E+18,2022-02-01 23:53:20+00:00, ,1.48866E+18,en,0,0,1,0,Twitter Web App,"@brOrayn @Theophite I feel your pain. I went through denial, anger, and bargaining over the years, and a long period of depression. I have made peace. I am wearing masks inside my own home (to save my elderly relatives) until things get better. At this point, we can act locally."
1.36142E+18,2022-02-01 23:53:15+00:00, ,1.48866E+18,en,0,0,1,0,Twitter Web App,"@ptrdo @Bouli21 @CaldronPool So we banning the elderly, obese and immunodeficient too?"
1.47713E+18,2022-02-01 23:52:57+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPad,"@RealCandaceO @SpeakerPelosi You know the Pelosi led Democrats keep pushing he story that black people don’t know how to get an ID because they cannot run a computer,all people today from small children to older adults have smart phones anyone able to handle a phone can handle a computer!!!"
69181162,2022-02-01 23:52:57+00:00, ,1.48866E+18,en,1,0,1,0,Twitter for iPad,"@jpfitz That is one of the motivations for creating AI, elder care. I wonder if we have an alternative to creating thinking machines?"
1601359999,2022-02-01 23:52:52+00:00, ,1.48866E+18,en,0,0,0,0,Twitter,"Israel punishes officers in death of elderly Palestinian man - https://t.co/U0Ewltb53y

#News https://t.co/BA3gxawc8f"
124640597,2022-02-01 23:52:51+00:00, ,1.48866E+18,en,0,0,0,0,DJ O'kay for 234Radio,"Israel punishes officers in death of elderly Palestinian man - https://t.co/cx5W4T0DsQ

#News https://t.co/4Ljz1Za38s"
99409461,2022-02-01 23:52:46+00:00, ,1.48866E+18,en,0,0,0,0,Twitter for iPhone,"@haveaconcern repeatedly.the elderly has been taxed , when they earned their money when they spend if and they pay property taxes for schools their whole lives ."
